symbol,name,asset_class,venue,currency,sector
DVA,,equity,NASDAQ/NYSE,USD,
DVN,,equity,NASDAQ/NYSE,USD,
DXCM,,equity,NASDAQ/NYSE,USD,
EA,,equity,NASDAQ/NYSE,USD,
EBAY,,equity,NASDAQ/NYSE,USD,
ECL,,equity,NASDAQ/NYSE,USD,
ED,,equity,NASDAQ/NYSE,USD,
EFX,,equity,NASDAQ/NYSE,USD,
EIX,,equity,NASDAQ/NYSE,USD,
EL,,equity,NASDAQ/NYSE,USD,
EMN,,equity,NASDAQ/NYSE,USD,
EMR,,equity,NASDAQ/NYSE,USD,
EOG,,equity,NASDAQ/NYSE,USD,
EQIX,,equity,NASDAQ/NYSE,USD,
EQR,,equity,NASDAQ/NYSE,USD,
EQT,,equity,NASDAQ/NYSE,USD,
ES,,equity,NASDAQ/NYSE,USD,
ESC,,equity,NASDAQ/NYSE,USD,
ESS,,equity,NASDAQ/NYSE,USD,
ETFC,,equity,NASDAQ/NYSE,USD,
ETN,,equity,NASDAQ/NYSE,USD,
ETR,,equity,NASDAQ/NYSE,USD,
EVHC,,equity,NASDAQ/NYSE,USD,
EW,,equity,NASDAQ/NYSE,USD,
EXC,,equity,NASDAQ/NYSE,USD,
EXPD,,equity,NASDAQ/NYSE,USD,
EXPE,,equity,NASDAQ/NYSE,USD,
EXR,,equity,NASDAQ/NYSE,USD,
F,,equity,NASDAQ/NYSE,USD,
FAST,,equity,NASDAQ/NYSE,USD,
FB,,equity,NASDAQ/NYSE,USD,
FBHS,,equity,NASDAQ/NYSE,USD,
FCX,,equity,NASDAQ/NYSE,USD,
FDX,,equity,NASDAQ/NYSE,USD,
FE,,equity,NASDAQ/NYSE,USD,
FFIV,,equity,NASDAQ/NYSE,USD,
FIS,,equity,NASDAQ/NYSE,USD,
FISV,,equity,NASDAQ/NYSE,USD,
FITB,,equity,NASDAQ/NYSE,USD,
FL,,equity,NASDAQ/NYSE,USD,
FLIR,,equity,NASDAQ/NYSE,USD,
FLR,,equity,NASDAQ/NYSE,USD,
FLS,,equity,NASDAQ/NYSE,USD,
FMC,,equity,NASDAQ/NYSE,USD,
FOX,,equity,NASDAQ/NYSE,USD,
FOXA,,equity,NASDAQ/NYSE,USD,
FRC,,equity,NASDAQ/NYSE,USD,
FRT,,equity,NASDAQ/NYSE,USD,
FSLR,,equity,NASDAQ/NYSE,USD,
FTI,,equity,NASDAQ/NYSE,USD,
FTV,,equity,NASDAQ/NYSE,USD,
GD,,equity,NASDAQ/NYSE,USD,
GE,,equity,NASDAQ/NYSE,USD,
GGP,,equity,NASDAQ/NYSE,USD,
GIS,,equity,NASDAQ/NYSE,USD,
GLW,,equity,NASDAQ/NYSE,USD,
GM,,equity,NASDAQ/NYSE,USD,
GPC,,equity,NASDAQ/NYSE,USD,
GPN,,equity,NASDAQ/NYSE,USD,
GPS,,equity,NASDAQ/NYSE,USD,
GRMN,,equity,NASDAQ/NYSE,USD,
GS,,equity,NASDAQ/NYSE,USD,
GT,,equity,NASDAQ/NYSE,USD,
GWW,,equity,NASDAQ/NYSE,USD,
HAL,,equity,NASDAQ/NYSE,USD,
HAS,,equity,NASDAQ/NYSE,USD,
HBAN,,equity,NASDAQ/NYSE,USD,
HBI,,equity,NASDAQ/NYSE,USD,
HCA,,equity,NASDAQ/NYSE,USD,
HCN,,equity,NASDAQ/NYSE,USD,
HCP,,equity,NASDAQ/NYSE,USD,
HD,,equity,NASDAQ/NYSE,USD,
HES,,equity,NASDAQ/NYSE,USD,
HIG,,equity,NASDAQ/NYSE,USD,
HOG,,equity,NASDAQ/NYSE,USD,
HOLX,,equity,NASDAQ/NYSE,USD,
HP,,equity,NASDAQ/NYSE,USD,
HPE,,equity,NASDAQ/NYSE,USD,
HPQ,,equity,NASDAQ/NYSE,USD,
HRB,,equity,NASDAQ/NYSE,USD,
HRL,,equity,NASDAQ/NYSE,USD,
HRS,,equity,NASDAQ/NYSE,USD,
HSIC,,equity,NASDAQ/NYSE,USD,
HST,,equity,NASDAQ/NYSE,USD,
HSY,,equity,NASDAQ/NYSE,USD,
HUM,,equity,NASDAQ/NYSE,USD,
IBM,,equity,NASDAQ/NYSE,USD,
ICE,,equity,NASDAQ/NYSE,USD,
IDXX,,equity,NASDAQ/NYSE,USD,
IEX,,equity,NASDAQ/NYSE,USD,
IFF,,equity,NASDAQ/NYSE,USD,
ILMN,,equity,NASDAQ/NYSE,USD,
IR,,equity,NASDAQ/NYSE,USD,
IRM,,equity,NASDAQ/NYSE,USD,
ITW,,equity,NASDAQ/NYSE,USD,
IVZ,,equity,NASDAQ/NYSE,USD,
JBHT,,equity,NASDAQ/NYSE,USD,
JCI,,equity,NASDAQ/NYSE,USD,
JEC,,equity,NASDAQ/NYSE,USD,
JNJ,,equity,NASDAQ/NYSE,USD,
JNPR,,equity,NASDAQ/NYSE,USD,
JPM,,equity,NASDAQ/NYSE,USD,
JWN,,equity,NASDAQ/NYSE,USD,
K,,equity,NASDAQ/NYSE,USD,
KEY,,equity,NASDAQ/NYSE,USD,
KEX,,equity,NASDAQ/NYSE,USD,
KH,,equity,NASDAQ/NYSE,USD,
KHC,,equity,NASDAQ/NYSE,USD,
KIM,,equity,NASDAQ/NYSE,USD,
KMB,,equity,NASDAQ/NYSE,USD,
KMI,,equity,NASDAQ/NYSE,USD,
KMX,,equity,NASDAQ/NYSE,USD,
KO,,equity,NASDAQ/NYSE,USD,
KORS,,equity,NASDAQ/NYSE,USD,
KR,,equity,NASDAQ/NYSE,USD,
KSS,,equity,NASDAQ/NYSE,USD,
KSU,,equity,NASDAQ/NYSE,USD,
L,,equity,NASDAQ/NYSE,USD,
LB,,equity,NASDAQ/NYSE,USD,
LEG,,equity,NASDAQ/NYSE,USD,
LEN,,equity,NASDAQ/NYSE,USD,
LH,,equity,NASDAQ/NYSE,USD,
LKQ,,equity,NASDAQ/NYSE,USD,
LMT,,equity,NASDAQ/NYSE,USD,
LNC,,equity,NASDAQ/NYSE,USD,
LNT,,equity,NASDAQ/NYSE,USD,
LOW,,equity,NASDAQ/NYSE,USD,
LUK,,equity,NASDAQ/NYSE,USD,
LUV,,equity,NASDAQ/NYSE,USD,
LVLT,,equity,NASDAQ/NYSE,USD,
LYB,,equity,NASDAQ/NYSE,USD,
M,,equity,NASDAQ/NYSE,USD,
MA,,equity,NASDAQ/NYSE,USD,
MAA,,equity,NASDAQ/NYSE,USD,
MAC,,equity,NASDAQ/NYSE,USD,
MAS,,equity,NASDAQ/NYSE,USD,
MAT,,equity,NASDAQ/NYSE,USD,
MCD,,equity,NASDAQ/NYSE,USD,
MCK,,equity,NASDAQ/NYSE,USD,
MCO,,equity,NASDAQ/NYSE,USD,
MDT,,equity,NASDAQ/NYSE,USD,
MET,,equity,NASDAQ/NYSE,USD,
MFA,,equity,NASDAQ/NYSE,USD,
MGM,,equity,NASDAQ/NYSE,USD,
MHK,,equity,NASDAQ/NYSE,USD,
MJN,,equity,NASDAQ/NYSE,USD,
MKC,,equity,NASDAQ/NYSE,USD,
MLM,,equity,NASDAQ/NYSE,USD,
MMC,,equity,NASDAQ/NYSE,USD,
MMM,,equity,NASDAQ/NYSE,USD,
MNK,,equity,NASDAQ/NYSE,USD,
MNST,,equity,NASDAQ/NYSE,USD,
MO,,equity,NASDAQ/NYSE,USD,
MON,,equity,NASDAQ/NYSE,USD,
MOS,,equity,NASDAQ/NYSE,USD,
MPC,,equity,NASDAQ/NYSE,USD,
MRK,,equity,NASDAQ/NYSE,USD,
MRO,,equity,NASDAQ/NYSE,USD,
MS,,equity,NASDAQ/NYSE,USD,
MSCI,,equity,NASDAQ/NYSE,USD,
MSI,,equity,NASDAQ/NYSE,USD,
MTB,,equity,NASDAQ/NYSE,USD,
MTD,,equity,NASDAQ/NYSE,USD,
MUR,,equity,NASDAQ/NYSE,USD,
MYL,,equity,NASDAQ/NYSE,USD,
NAVI,,equity,NASDAQ/NYSE,USD,
NBL,,equity,NASDAQ/NYSE,USD,
NDAQ,,equity,NASDAQ/NYSE,USD,
NEE,,equity,NASDAQ/NYSE,USD,
NEM,,equity,NASDAQ/NYSE,USD,
NFX,,equity,NASDAQ/NYSE,USD,
NI,,equity,NASDAQ/NYSE,USD,
NKE,,equity,NASDAQ/NYSE,USD,
NLSN,,equity,NASDAQ/NYSE,USD,
NOC,,equity,NASDAQ/NYSE,USD,
NOV,,equity,NASDAQ/NYSE,USD,
NRG,,equity,NASDAQ/NYSE,USD,
NSC,,equity,NASDAQ/NYSE,USD,
NTAP,,equity,NASDAQ/NYSE,USD,
NTR,,equity,NASDAQ/NYSE,USD,
NTRS,,equity,NASDAQ/NYSE,USD,
NUE,,equity,NASDAQ/NYSE,USD,
NWL,,equity,NASDAQ/NYSE,USD,
NWSA,,equity,NASDAQ/NYSE,USD,
NWS,,equity,NASDAQ/NYSE,USD,
O,,equity,NASDAQ/NYSE,USD,
ODFL,,equity,NASDAQ/NYSE,USD,
OGE,,equity,NASDAQ/NYSE,USD,
OMC,,equity,NASDAQ/NYSE,USD,
ORCL,,equity,NASDAQ/NYSE,USD,
OXY,,equity,NASDAQ/NYSE,USD,
PAYX,,equity,NASDAQ/NYSE,USD,
PBCT,,equity,NASDAQ/NYSE,USD,
PBI,,equity,NASDAQ/NYSE,USD,
PCAR,,equity,NASDAQ/NYSE,USD,
PCG,,equity,NASDAQ/NYSE,USD,
PCLN,,equity,NASDAQ/NYSE,USD,
PDCO,,equity,NASDAQ/NYSE,USD,
PEG,,equity,NASDAQ/NYSE,USD,
PFE,,equity,NASDAQ/NYSE,USD,
PFG,,equity,NASDAQ/NYSE,USD,
PG,,equity,NASDAQ/NYSE,USD,
PGR,,equity,NASDAQ/NYSE,USD,
PH,,equity,NASDAQ/NYSE,USD,
PHM,,equity,NASDAQ/NYSE,USD,
PKI,,equity,NASDAQ/NYSE,USD,
PLD,,equity,NASDAQ/NYSE,USD,
PM,,equity,NASDAQ/NYSE,USD,
PNC,,equity,NASDAQ/NYSE,USD,
PNR,,equity,NASDAQ/NYSE,USD,
PNW,,equity,NASDAQ/NYSE,USD,
POM,,equity,NASDAQ/NYSE,USD,
PPG,,equity,NASDAQ/NYSE,USD,
PPL,,equity,NASDAQ/NYSE,USD,
PRGO,,equity,NASDAQ/NYSE,USD,
PRU,,equity,NASDAQ/NYSE,USD,
PSA,,equity,NASDAQ/NYSE,USD,
PSX,,equity,NASDAQ/NYSE,USD,
PVH,,equity,NASDAQ/NYSE,USD,
PWR,,equity,NASDAQ/NYSE,USD,
PX,,equity,NASDAQ/NYSE,USD,
PXD,,equity,NASDAQ/NYSE,USD,
QRVO,,equity,NASDAQ/NYSE,USD,
R,,equity,NASDAQ/NYSE,USD,
RAI,,equity,NASDAQ/NYSE,USD,
RRC,,equity,NASDAQ/NYSE,USD,
RTN,,equity,NASDAQ/NYSE,USD,
S,,equity,NASDAQ/NYSE,USD,
SAN,,equity,NASDAQ/NYSE,USD,
SBAC,,equity,NASDAQ/NYSE,USD,
SCG,,equity,NASDAQ/NYSE,USD,
SCHW,,equity,NASDAQ/NYSE,USD,
SE,,equity,NASDAQ/NYSE,USD,
SEE,,equity,NASDAQ/NYSE,USD,
SHW,,equity,NASDAQ/NYSE,USD,
SIG,,equity,NASDAQ/NYSE,USD,
SJM,,equity,NASDAQ/NYSE,USD,
SLB,,equity,NASDAQ/NYSE,USD,
SLG,,equity,NASDAQ/NYSE,USD,
SNA,,equity,NASDAQ/NYSE,USD,
SNI,,equity,NASDAQ/NYSE,USD,
SO,,equity,NASDAQ/NYSE,USD,
SPG,,equity,NASDAQ/NYSE,USD,
SPGI,,equity,NASDAQ/NYSE,USD,
SPLS,,equity,NASDAQ/NYSE,USD,
SRCL,,equity,NASDAQ/NYSE,USD,
SRE,,equity,NASDAQ/NYSE,USD,
STI,,equity,NASDAQ/NYSE,USD,
STT,,equity,NASDAQ/NYSE,USD,
STX,,equity,NASDAQ/NYSE,USD,
STZ,,equity,NASDAQ/NYSE,USD,
SWK,,equity,NASDAQ/NYSE,USD,
SWKS,,equity,NASDAQ/NYSE,USD,
SWN,,equity,NASDAQ/NYSE,USD,
SYF,,equity,NASDAQ/NYSE,USD,
SYK,,equity,NASDAQ/NYSE,USD,
SYMC,,equity,NASDAQ/NYSE,USD,
SYY,,equity,NASDAQ/NYSE,USD,
T,,equity,NASDAQ/NYSE,USD,
TAP,,equity,NASDAQ/NYSE,USD,
TDS,,equity,NASDAQ/NYSE,USD,
TDG,,equity,NASDAQ/NYSE,USD,
TE,,equity,NASDAQ/NYSE,USD,
TEL,,equity,NASDAQ/NYSE,USD,
TEN,,equity,NASDAQ/NYSE,USD,
TER,,equity,NASDAQ/NYSE,USD,
TFC,,equity,NASDAQ/NYSE,USD,
TFX,,equity,NASDAQ/NYSE,USD,
TGNA,,equity,NASDAQ/NYSE,USD,
TGT,,equity,NASDAQ/NYSE,USD,
THC,,equity,NASDAQ/NYSE,USD,
TIF,,equity,NASDAQ/NYSE,USD,
TJX,,equity,NASDAQ/NYSE,USD,
TMK,,equity,NASDAQ/NYSE,USD,
TMO,,equity,NASDAQ/NYSE,USD,
TPR,,equity,NASDAQ/NYSE,USD,
TRV,,equity,NASDAQ/NYSE,USD,
TSCO,,equity,NASDAQ/NYSE,USD,
TSN,,equity,NASDAQ/NYSE,USD,
TROW,,equity,NASDAQ/NYSE,USD,
TTWO,,equity,NASDAQ/NYSE,USD,
TXT,,equity,NASDAQ/NYSE,USD,
TYL,,equity,NASDAQ/NYSE,USD,
UA,,equity,NASDAQ/NYSE,USD,
UAA,,equity,NASDAQ/NYSE,USD,
UAL,,equity,NASDAQ/NYSE,USD,
UDR,,equity,NASDAQ/NYSE,USD,
UHS,,equity,NASDAQ/NYSE,USD,
ULTA,,equity,NASDAQ/NYSE,USD,
UNH,,equity,NASDAQ/NYSE,USD,
UNM,,equity,NASDAQ/NYSE,USD,
UNP,,equity,NASDAQ/NYSE,USD,
UPS,,equity,NASDAQ/NYSE,USD,
URBN,,equity,NASDAQ/NYSE,USD,
URI,,equity,NASDAQ/NYSE,USD,
USB,,equity,NASDAQ/NYSE,USD,
V,,equity,NASDAQ/NYSE,USD,
VAR,,equity,NASDAQ/NYSE,USD,
VEEV,,equity,NASDAQ/NYSE,USD,
VFC,,equity,NASDAQ/NYSE,USD,
VIAB,,equity,NASDAQ/NYSE,USD,
VLO,,equity,NASDAQ/NYSE,USD,
VMC,,equity,NASDAQ/NYSE,USD,
VNO,,equity,NASDAQ/NYSE,USD,
VRSK,,equity,NASDAQ/NYSE,USD,
VRSN,,equity,NASDAQ/NYSE,USD,
VTR,,equity,NASDAQ/NYSE,USD,
VZ,,equity,NASDAQ/NYSE,USD,
WAT,,equity,NASDAQ/NYSE,USD,
WBA,,equity,NASDAQ/NYSE,USD,
WBC,,equity,NASDAQ/NYSE,USD,
WDC,,equity,NASDAQ/NYSE,USD,
WEC,,equity,NASDAQ/NYSE,USD,
WFC,,equity,NASDAQ/NYSE,USD,
WFM,,equity,NASDAQ/NYSE,USD,
WHR,,equity,NASDAQ/NYSE,USD,
WLTW,,equity,NASDAQ/NYSE,USD,
WM,,equity,NASDAQ/NYSE,USD,
WMB,,equity,NASDAQ/NYSE,USD,
WMT,,equity,NASDAQ/NYSE,USD,
WRK,,equity,NASDAQ/NYSE,USD,
WU,,equity,NASDAQ/NYSE,USD,
WY,,equity,NASDAQ/NYSE,USD,
WYNN,,equity,NASDAQ/NYSE,USD,
XEC,,equity,NASDAQ/NYSE,USD,
XEL,,equity,NASDAQ/NYSE,USD,
XL,,equity,NASDAQ/NYSE,USD,
XLNX,,equity,NASDAQ/NYSE,USD,
XOM,,equity,NASDAQ/NYSE,USD,
XRAY,,equity,NASDAQ/NYSE,USD,
XYL,,equity,NASDAQ/NYSE,USD,
YUM,,equity,NASDAQ/NYSE,USD,
ZBH,,equity,NASDAQ/NYSE,USD,
ZION,,equity,NASDAQ/NYSE,USD,
ZTS,,equity,NASDAQ/NYSE,USD,
RTX,,equity,NASDAQ/NYSE,USD,
LLY,,equity,NASDAQ/NYSE,USD,
BK,,equity,NASDAQ/NYSE,USD,
SPCX,,equity,NASDAQ/NYSE,USD,
CRCL,,equity,NASDAQ/NYSE,USD,
ABCL,,equity,NASDAQ/NYSE,USD,
SOFI,,equity,NASDAQ/NYSE,USD,
BMNR,,equity,NASDAQ/NYSE,USD,
CLSK,,equity,NASDAQ/NYSE,USD,
DUOL,,equity,NASDAQ/NYSE,USD,
SBET,,equity,NASDAQ/NYSE,USD,
TYGO,,equity,NASDAQ/NYSE,USD,
RR,,equity,NASDAQ/NYSE,USD,
FIG,,equity,NASDAQ/NYSE,USD,
ARM,,equity,NASDAQ/NYSE,USD,
PLTR,,equity,NASDAQ/NYSE,USD,
ASTS,,equity,NASDAQ/NYSE,USD,
IONQ,,equity,NASDAQ/NYSE,USD,
XNDU,,equity,NASDAQ/NYSE,USD,
MRVL,,equity,NASDAQ/NYSE,USD,
SIVE,,equity,NASDAQ/NYSE,USD,
IREN,,equity,NASDAQ/NYSE,USD,
TTEK,,equity,NASDAQ/NYSE,USD,
RDDT,,equity,NASDAQ/NYSE,USD,
VRT,,equity,NASDAQ/NYSE,USD,
BLSH,,equity,NASDAQ/NYSE,USD,
ASST,,equity,NASDAQ/NYSE,USD,
QSI,,equity,NASDAQ/NYSE,USD,
NTLA,,equity,NASDAQ/NYSE,USD,
GTLB,,equity,NASDAQ/NYSE,USD,
COIN,,equity,NASDAQ/NYSE,USD,
BE,,equity,NASDAQ/NYSE,USD,
HOOD,,equity,NASDAQ/NYSE,USD,
MSTR,,equity,NASDAQ/NYSE,USD,
RZLV,,equity,NASDAQ/NYSE,USD,
STM,,equity,NASDAQ/NYSE,USD,
ASML,,equity,NASDAQ/NYSE,USD,
ANET,,equity,NASDAQ/NYSE,USD,
CRWV,,equity,NASDAQ/NYSE,USD,
NOK,,equity,NASDAQ/NYSE,USD,
RKLB,,equity,NASDAQ/NYSE,USD,
PL,,equity,NASDAQ/NYSE,USD,
RGTI,,equity,NASDAQ/NYSE,USD,
ONDS,,equity,NASDAQ/NYSE,USD,
TSM,,equity,NASDAQ/NYSE,USD,
PATH,,equity,NASDAQ/NYSE,USD,
BABA,,equity,NASDAQ/NYSE,USD,
BIDU,,equity,NASDAQ/NYSE,USD,
OSCR,,equity,NASDAQ/NYSE,USD,
BEAM,,equity,NASDAQ/NYSE,USD,
QS,,equity,NASDAQ/NYSE,USD,
OKLO,,equity,NASDAQ/NYSE,USD,
ARQQ,,equity,NASDAQ/NYSE,USD,
POET,,equity,NASDAQ/NYSE,USD,
HIMS,,equity,NASDAQ/NYSE,USD,
EOSE,,equity,NASDAQ/NYSE,USD,
